Catalogue Entry,Alternative Entries,Familiar Name,Right Ascension,Declination,Major Axis,Minor Axis,Magnitude,Name catalog,Name number,Type,Type Category,Constellation,Width ('),Height ('),Notes
C 9,,Cave Nebula,22:57:54.0,+62:31:06,50.0,30.0,,C,9,HII Ionized region,nebulae,Cepheus,50.0,10.0,large_dso
C 14,,"Double Cluster, h & chi Persei",02:20:42.0,+57:08:15,50.0,50.0,,C,14,Association of stars,stars,Perseus,30.0,30.0,large_dso
C 41,,Hyades,04:26:54.0,+15:52:00,329.0,,,C,41,Open Cluster,clusters,Taurus,330.0,330.0,large_dso
C 99,,Coalsack Nebula,12:31:19.0,-63:44:36,,,,C,99,Dark Nebula,nebulae,Crux,400.0,300.0,large_dso
CR 399,,"Brocchi's Cluster, Al Sufi's Cluster, Coathanger Asterism",19:25:24.0,+20:11:00,70.0,,3.6,Cl,399,Association of stars,stars,Vulpecula,,,large_dso
ESO 56,,"Large Magellanic Cloud,Nubecula Major",05:23:34.5,-69:45:22,646.0,550.0,0.29,ESO,56,Galaxy,galaxies,Dorado,,,large_dso
ESO 351,,Sculptor Dwarf Elliptical,01:00:09.35,-33:42:32.5,15.26,15.26,8.6,ESO,351,Galaxy,galaxies,Sculptor,,,large_dso
ESO 356,,Fornax Dwarf Spheroidal,02:39:59.33,-34:26:57.1,12.88,10.47,7.4,ESO,356,Galaxy,galaxies,Fornax,,,small_dso
IC 341,,,03:40:55.69,+21:57:36.7,134.9,,,IC,341,Nebula,nebulae,Taurus,,,large_dso
IC 342,C 5,,03:46:48.50,+68:05:46.9,19.77,18.79,,IC,342,Galaxy,galaxies,Camelopardalis,18.0,17.0,large_dso
IC 349,,Barnard's Merope Nebula,03:46:20.11,+23:56:23.3,25.7,,,IC,349,Reflection Nebula,nebulae,Taurus,,,large_dso
IC 353,,,03:53:01.07,+25:50:52.8,181.97,30.2,,IC,353,Nebula,nebulae,Taurus,180.0,180.0,large_dso
IC 354,,,03:53:57.91,+23:08:49.2,128.82,,,IC,354,Nebula,nebulae,Taurus,,,large_dso
IC 359A,,,04:18:41.00,+28:17:24.0,15.0,10.0,,IC,359,Reflection Nebula,nebulae,Taurus,,,large_dso
IC 360,,,04:09:02.57,+26:07:52.3,180.0,100.0,,IC,360,Nebula,nebulae,Taurus,180.0,180.0,large_dso
IC 405,C 31,Flaming Star Nebula,05:16:29.48,+34:21:22.2,50.0,30.0,,IC,405,Nebula,nebulae,Auriga,30.0,19.0,large_dso
IC 410,,,05:22:42.00,+33:22:00.0,40.0,30.0,,IC,410,Nebula,nebulae,Auriga,40.0,40.0,large_dso
IC 434,,"Flame Nebula,Orion B, Horsehead nebula",05:41:00.88,-02:27:13.6,90.0,30.0,,IC,434,HII Ionized region,nebulae,Orion,60.0,60.0,large_dso
