Name,Type,RA,Dec,Const,MajAx,MinAx,V-Mag,M,NGC,IC,Common names,Name catalog,Name number (with zeros),Name normalized,IC name,M name,Name number,Catalog,Name_MIKE,Name (no leading zero),Name (final),NGC/ID,Type_MIKE,Common Name,Mag,RA_MIKE,Dec_MIKE,Width ('),Height ('),IC_MIKE,IC name_MIKE,NGC_MIKE,NGC name,mike,Notes
IC0341,Neb,03:40:55.69,+21:57:36.7,Tau,134.9,,,,,,,IC,0341,IC 341,IC 341,,341,,,,,,,,,,,,,,,,,,large_dso
IC0342,G,03:46:48.50,+68:05:46.9,Cam,19.77,18.79,,,,,,IC,0342,IC 342,IC 342,,342,Caldwell,C 005,C 5,C 5,I342,Sp,,9.2,03:46:48,68.1,18.0,17.0,342,IC 342,,,True,large_dso
IC0349,RfN,03:46:20.11,+23:56:23.3,Tau,25.7,,,,,,Barnard's Merope Nebula,IC,0349,IC 349,IC 349,,349,,,,,,,,,,,,,,,,,,large_dso
IC0353,Neb,03:53:01.07,+25:50:52.8,Tau,181.97,30.2,,,,,,IC,0353,IC 353,IC 353,,353,IC,IC  353,IC 353,IC 353,I 353,Nb,,,03:55:00,25.48,180.0,180.0, 353,IC 353,,,True,large_dso
IC0354,Neb,03:53:57.91,+23:08:49.2,Tau,128.82,,,,,,,IC,0354,IC 354,IC 354,,354,,,,,,,,,,,,,,,,,,large_dso
IC0359A,RfN,04:18:41.00,+28:17:24.0,Tau,15.0,10.0,,,,,,IC,0359A,IC 359A,IC 359A,,359,,,,,,,,,,,,,,,,,,large_dso
IC0360,Neb,04:09:02.57,+26:07:52.3,Tau,180.0,100.0,,,,,,IC,0360,IC 360,IC 360,,360,IC,IC  360,IC 360,IC 360,I 360,Nb,,,04:13:00,25.63,180.0,180.0, 360,IC 360,,,True,large_dso
IC0405,Neb,05:16:29.48,+34:21:22.2,Aur,50.0,30.0,,,,,Flaming Star Nebula,IC,0405,IC 405,IC 405,,405,Caldwell,C 031,C 31,C 31,I405,Bn,Flaming Star Nebula,6,05:16:12,34.27,30.0,19.0,405,IC 405,,,True,large_dso
IC0405,Neb,05:16:29.48,+34:21:22.2,Aur,50.0,30.0,,,,,Flaming Star Nebula,IC,0405,IC 405,IC 405,,405,IC,IC  405,IC 405,IC 405 = C 31,I 405,Nb,Flaming Star nebula,,05:16:12,34.27,30.0,30.0, 405,IC 405,,,True,large_dso
IC0410,Neb,05:22:42.00,+33:22:00.0,Aur,40.0,30.0,,,,,,IC,0410,IC 410,IC 410,,410,IC,IC  410,IC 410,IC 410,I 410,C+N,,,05:22:36,33.52,40.0,40.0, 410,IC 410,,,True,large_dso
IC0434,HII,05:41:00.88,-02:27:13.6,Ori,90.0,30.0,,,,,"Flame Nebula,Orion B",IC,0434,IC 434,IC 434,,434,IC,IC  434,IC 434,IC 434,I 434,Nb,Horsehead nebula,,05:41:00,-1.6,60.0,60.0, 434,IC 434,,,True,large_dso
IC0443,SNR,06:16:37.41,+22:31:54.0,Gem,50.0,40.0,,,,,Gem A,IC,0443,IC 443,IC 443,,443,IC,IC  443,IC 443,IC 443,I 443,Nb,,,06:16:54,22.78,50.0,50.0, 443,IC 443,,,True,large_dso
IC0447,HII,06:31:00.32,+09:53:50.8,Mon,25.0,20.0,,,,2169,,IC,0447,IC 447,IC 447,,447,IC,IC 2169,IC 447,IC 2169,I0447,Nb,,,06:31:12,9.9,25.0,25.0,0447,IC 0447,,,True,large_dso
IC0448,HII,06:32:45.34,+07:23:19.1,Mon,15.0,10.0,,,,,,IC,0448,IC 448,IC 448,,448,,,,,,,,,,,,,,,,,,large_dso
IC0468,Other,07:17:19.00,-13:13:07.3,CMa,,,,,,,,IC,0468,IC 468,IC 468,,468,IC,IC  468,IC 468,IC 468,I 468,Nb,,,07:17:30,-12.85,20.0,20.0, 468,IC 468,,,True,large_dso
IC1274,HII,18:09:51.03,-23:38:53.6,Sgr,20.0,5.0,,,,,,IC,1274,IC 1274,IC 1274,,1274,,,,,,,,,,,,,,,,,,large_dso
IC1283,HII,18:17:16.85,-19:45:44.0,Sgr,15.0,15.0,,,,,,IC,1283,IC 1283,IC 1283,,1283,,,,,,,,,,,,,,,,,,large_dso
IC1284,Neb,18:17:39.63,-19:40:19.3,Sgr,16.98,15.14,,,,,,IC,1284,IC 1284,IC 1284,,1284,,,,,,,,,,,,,,,,,,large_dso
IC1287,RfN,18:31:25.69,-10:47:44.9,Sct,20.0,10.0,,,,,,IC,1287,IC 1287,IC 1287,,1287,IC,IC 1287,IC 1287,IC 1287,I1287,Nb,,,18:31:18,-9.17,44.0,44.0,1287,IC 1287,,,True,large_dso
IC1310,Cl+N,20:10:00.98,+34:58:08.0,Cyg,15.0,3.0,,,,,,IC,1310,IC 1310,IC 1310,,1310,,,,,,,,,,,,,,,,,,large_dso
IC1340,SNR,20:56:08.25,+31:02:52.3,Cyg,25.12,19.95,,,,,,IC,1340,IC 1340,IC 1340,,1340,IC,IC 1340,IC 1340,,I1340,Nb,,,20:56:12,31.07,25.0,25.0,1340,IC 1340,,,True,large_dso
